"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Incidents, Signals & Weather","0.25%","98 hrs","$3,482","$637","$4,118"
"Weather","0.2%","80 hrs","$2,836","$519","$3,355"
"Signals & Weather","14.43%","5,751 hrs","$203,407","$37,196","$240,604"
"Holiday, Signals & Weather","1.04%","413 hrs","$14,608","$2,671","$17,279"
"Unclassified","1.02%","405 hrs","$14,335","$2,621","$16,957"
"Signals","78.46%","31,258 hrs","$1,105,591","$202,176","$1,307,768"
"Holiday","0.01%","2 hrs","$80","$15","$95"
"Incidents & Signals","0.34%","136 hrs","$4,817","$881","$5,697"
"Holiday & Signals","4.26%","1,697 hrs","$60,034","$10,978","$71,013"
"Totals","100.0%","39,841 hrs","$1,409,192","$257,694","$1,666,886"
