"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Signals & Weather","2.35%","77 hrs","$2,717","$497","$3,214"
"Signals","19.83%","649 hrs","$22,947","$4,196","$27,143"
"Incidents & Signals","1.37%","45 hrs","$1,579","$289","$1,868"
"Incidents, Signals & Weather","11.37%","372 hrs","$13,158","$2,406","$15,564"
"Signals & Work Zone","11.29%","369 hrs","$13,068","$2,390","$15,458"
"Weather","6.57%","215 hrs","$7,605","$1,391","$8,996"
"Holiday & Signals","0.44%","14 hrs","$506","$92","$598"
"Holiday","0.36%","12 hrs","$414","$76","$490"
"Incidents & Weather","3.3%","108 hrs","$3,822","$699","$4,521"
"Incidents","0.3%","10 hrs","$348","$64","$411"
"Unclassified","42.82%","1,401 hrs","$49,545","$9,060","$58,605"
"Totals","100.0%","3,271 hrs","$115,709","$21,159","$136,868"
