"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Work Zone","7.73%","657 hrs","$23,223","$4,247","$27,470"
"Holiday & Work Zone","0.7%","59 hrs","$2,092","$383","$2,474"
"Weather & Work Zone","0.64%","54 hrs","$1,926","$352","$2,279"
"Incidents, Signals & Weather","0.5%","42 hrs","$1,502","$275","$1,777"
"Unclassified","54.09%","4,592 hrs","$162,422","$29,702","$192,124"
"Holiday & Weather","0.05%","4 hrs","$146","$27","$173"
"Weather","3.75%","318 hrs","$11,248","$2,057","$13,305"
"Signals","28.61%","2,429 hrs","$85,927","$15,713","$101,641"
"Holiday","1.99%","169 hrs","$5,983","$1,094","$7,077"
"Signals & Weather","1.94%","165 hrs","$5,828","$1,066","$6,894"
"Totals","100.0%","8,490 hrs","$300,298","$54,915","$355,213"
