"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Recurrent & Unclassified","0.61%","946 hrs","$33,448","$6,117","$39,565"
"Recurrent","6.36%","9,841 hrs","$348,059","$63,648","$411,707"
"Holiday & Weather","0.06%","88 hrs","$3,103","$567","$3,670"
"Signals","56.3%","87,085 hrs","$3,080,181","$563,263","$3,643,444"
"Recurrent & Signals","0.05%","72 hrs","$2,537","$464","$3,001"
"Unclassified","4.83%","7,464 hrs","$263,996","$48,276","$312,273"
"Holiday, Signals & Work Zone","0.33%","512 hrs","$18,109","$3,311","$21,420"
"Incidents & Signals","0.27%","424 hrs","$14,997","$2,743","$17,740"
"Recurrent, Signals & Weather","0.03%","40 hrs","$1,415","$259","$1,674"
"Incidents, Signals & Weather","0.02%","32 hrs","$1,147","$210","$1,357"
"Holiday, Signals & Weather","2.57%","3,974 hrs","$140,567","$25,705","$166,273"
"Recurrent & Weather","0.15%","225 hrs","$7,950","$1,454","$9,403"
"Signals & Weather","14.58%","22,547 hrs","$797,487","$145,834","$943,321"
"Holiday & Signals","11.16%","17,256 hrs","$610,335","$111,610","$721,944"
"Holiday, Signals, Weather & Work Zone","0.09%","136 hrs","$4,824","$882","$5,706"
"Holiday","0.93%","1,444 hrs","$51,075","$9,340","$60,415"
"Weather","0.91%","1,411 hrs","$49,898","$9,125","$59,023"
"Signals & Work Zone","0.77%","1,184 hrs","$41,875","$7,658","$49,532"
"Totals","100.0%","154,679 hrs","$5,471,003","$1,000,465","$6,471,468"
