"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Recurrent & Unclassified","3.37%","986 hrs","$34,868","$6,376","$41,244"
"Weather & Work Zone","0.27%","78 hrs","$2,755","$504","$3,259"
"Work Zone","1.35%","396 hrs","$14,013","$2,563","$16,576"
"Signals & Weather","1.04%","306 hrs","$10,807","$1,976","$12,783"
"Holiday, Signals & Weather","0.1%","30 hrs","$1,055","$193","$1,248"
"Signals","12.34%","3,611 hrs","$127,717","$23,355","$151,072"
"Weather","7.75%","2,268 hrs","$80,206","$14,667","$94,872"
"Holiday & Signals","0.65%","189 hrs","$6,689","$1,223","$7,912"
"Unclassified","64.26%","18,806 hrs","$665,171","$121,638","$786,808"
"Holiday & Weather","0.47%","139 hrs","$4,907","$897","$5,804"
"Recurrent & Weather","0.46%","135 hrs","$4,769","$872","$5,641"
"Recurrent","4.17%","1,220 hrs","$43,148","$7,890","$51,039"
"Holiday","3.76%","1,100 hrs","$38,892","$7,112","$46,004"
"Totals","100.0%","29,262 hrs","$1,034,996","$189,266","$1,224,263"
