"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Work Zone","4.64%","954 hrs","$33,759","$6,173","$39,932"
"Holiday & Incidents","3.78%","779 hrs","$27,546","$5,037","$32,583"
"Recurrent","3.52%","725 hrs","$25,647","$4,690","$30,337"
"Incidents","25.77%","5,306 hrs","$187,686","$34,321","$222,007"
"Holiday, Incidents & Work Zone","1.91%","393 hrs","$13,913","$2,544","$16,457"
"Unclassified","16.42%","3,380 hrs","$119,552","$21,862","$141,414"
"Holiday","1.41%","291 hrs","$10,281","$1,880","$12,161"
"Weather & Work Zone","0.98%","202 hrs","$7,134","$1,305","$8,438"
"Incidents & Work Zone","13.63%","2,806 hrs","$99,237","$18,147","$117,384"
"Incidents & Weather","10.01%","2,061 hrs","$72,891","$13,329","$86,220"
"Recurrent & Work Zone","0.7%","144 hrs","$5,095","$932","$6,027"
"Incidents, Weather & Work Zone","6.02%","1,240 hrs","$43,869","$8,022","$51,892"
"Weather","5.78%","1,190 hrs","$42,106","$7,700","$49,806"
"Incidents & Recurrent","5.42%","1,116 hrs","$39,461","$7,216","$46,677"
"Totals","100.0%","20,587 hrs","$728,176","$133,159","$861,335"
