"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Signals","12.93%","941 hrs","$33,284","$6,087","$39,371"
"Weather","12.77%","930 hrs","$32,879","$6,013","$38,892"
"Holiday, Signals & Weather","0.09%","6 hrs","$222","$41","$263"
"Unclassified","61.98%","4,511 hrs","$159,569","$29,180","$188,749"
"Signals & Weather","4.93%","359 hrs","$12,704","$2,323","$15,027"
"Work Zone","0.47%","34 hrs","$1,199","$219","$1,418"
"Incidents","2.75%","200 hrs","$7,079","$1,295","$8,374"
"Holiday & Weather","0.24%","17 hrs","$607","$111","$718"
"Holiday","2.17%","158 hrs","$5,592","$1,023","$6,615"
"Holiday & Signals","1.68%","122 hrs","$4,332","$792","$5,124"
"Totals","100.0%","7,279 hrs","$257,468","$47,082","$304,550"
