"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Incidents & Signals","0.73%","75 hrs","$2,640","$483","$3,122"
"Signals","71.91%","7,349 hrs","$259,940","$47,534","$307,475"
"Holiday & Signals","5.8%","593 hrs","$20,967","$3,834","$24,801"
"Holiday, Signals & Weather","0.51%","52 hrs","$1,829","$334","$2,164"
"Work Zone","0.03%","3 hrs","$94","$17","$111"
"Signals & Work Zone","1.46%","149 hrs","$5,263","$962","$6,225"
"Signals, Weather & Work Zone","1.42%","145 hrs","$5,136","$939","$6,075"
"Unclassified","0.1%","11 hrs","$374","$68","$443"
"Signals & Weather","18.03%","1,843 hrs","$65,173","$11,918","$77,091"
"Weather","0.01%","1 hrs","$51","$9","$60"
"Totals","100.0%","10,220 hrs","$361,467","$66,100","$427,567"
