"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Holiday, Signals & Weather","0.47%","99 hrs","$3,501","$640","$4,141"
"Unclassified","4.64%","972 hrs","$34,393","$6,289","$40,682"
"Holiday & Signals","4.14%","868 hrs","$30,713","$5,616","$36,329"
"Signals","34.46%","7,220 hrs","$255,378","$46,700","$302,078"
"Signals & Weather","3.3%","692 hrs","$24,471","$4,475","$28,946"
"Incidents","0.31%","65 hrs","$2,307","$422","$2,729"
"Recurrent","32.45%","6,799 hrs","$240,463","$43,973","$284,436"
"Work Zone","0.16%","34 hrs","$1,190","$218","$1,407"
"Recurrent & Unclassified","14.32%","3,001 hrs","$106,138","$19,409","$125,547"
"Incidents, Signals & Weather","0.01%","3 hrs","$93","$17","$110"
"Incidents & Signals","1.28%","269 hrs","$9,500","$1,737","$11,238"
"Recurrent & Weather","1.07%","223 hrs","$7,893","$1,443","$9,336"
"Weather","0.95%","199 hrs","$7,029","$1,285","$8,314"
"Incidents & Weather","0.83%","175 hrs","$6,184","$1,131","$7,314"
"Incidents & Recurrent","0.82%","172 hrs","$6,092","$1,114","$7,206"
"Holiday","0.76%","160 hrs","$5,663","$1,036","$6,699"
"Totals","100.0%","20,950 hrs","$741,006","$135,505","$876,512"
