"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Incidents & Work Zone","5.5%","94 hrs","$3,332","$609","$3,941"
"Incidents & Weather","3.63%","62 hrs","$2,198","$402","$2,599"
"Incidents","32.42%","555 hrs","$19,626","$3,589","$23,215"
"Recurrent","32.33%","553 hrs","$19,575","$3,580","$23,155"
"Holiday & Recurrent","2.09%","36 hrs","$1,266","$231","$1,497"
"Holiday","1.93%","33 hrs","$1,169","$214","$1,383"
"Weather","1.85%","32 hrs","$1,123","$205","$1,328"
"Unclassified","10.73%","184 hrs","$6,494","$1,188","$7,681"
"Recurrent & Unclassified","8.8%","151 hrs","$5,329","$975","$6,304"
"Holiday & Incidents","0.71%","12 hrs","$428","$78","$506"
"Totals","100.0%","1,712 hrs","$60,539","$11,071","$71,610"
