"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Unclassified","36.96%","9,023 hrs","$319,132","$58,359","$377,490"
"Holiday & Signals","2.93%","714 hrs","$25,259","$4,619","$29,878"
"Weather","2.85%","695 hrs","$24,588","$4,496","$29,085"
"Signals","25.79%","6,296 hrs","$222,683","$40,721","$263,404"
"Incidents & Weather","2.15%","525 hrs","$18,561","$3,394","$21,955"
"Signals & Weather","1.47%","358 hrs","$12,664","$2,316","$14,980"
"Work Zone","10.23%","2,496 hrs","$88,295","$16,146","$104,442"
"Holiday & Incidents","0.79%","193 hrs","$6,829","$1,249","$8,078"
"Incidents & Signals","0.7%","171 hrs","$6,057","$1,108","$7,165"
"Holiday & Weather","0.7%","170 hrs","$6,018","$1,101","$7,119"
"Holiday","5.99%","1,463 hrs","$51,745","$9,463","$61,208"
"Incidents & Work Zone","4.95%","1,209 hrs","$42,745","$7,817","$50,562"
"Incidents","4.51%","1,101 hrs","$38,927","$7,118","$46,045"
"Totals","100.0%","24,413 hrs","$863,505","$157,906","$1,021,411"
