"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Incidents","4.46%","967 hrs","$34,199","$6,254","$40,453"
"Recurrent & Unclassified","4.37%","948 hrs","$33,548","$6,135","$39,683"
"Holiday","3.63%","788 hrs","$27,881","$5,098","$32,979"
"Holiday & Weather","0.27%","58 hrs","$2,055","$376","$2,430"
"Incidents & Weather","0.02%","5 hrs","$183","$34","$217"
"Recurrent","13.53%","2,937 hrs","$103,893","$18,999","$122,891"
"Weather","13.34%","2,896 hrs","$102,433","$18,732","$121,165"
"Recurrent & Weather","0.86%","186 hrs","$6,573","$1,202","$7,775"
"Unclassified","59.52%","12,917 hrs","$456,879","$83,548","$540,427"
"Totals","100.0%","21,703 hrs","$767,645","$140,377","$908,021"
