"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Incidents","2.58%","909 hrs","$32,144","$5,878","$38,022"
"Holiday & Weather","0.22%","78 hrs","$2,771","$507","$3,278"
"Holiday & Work Zone","0.16%","58 hrs","$2,035","$372","$2,408"
"Holiday","1.26%","444 hrs","$15,717","$2,874","$18,592"
"Holiday, Weather & Work Zone","0.08%","28 hrs","$997","$182","$1,179"
"Signals & Weather","7.32%","2,575 hrs","$91,090","$16,657","$107,747"
"Work Zone","5.79%","2,037 hrs","$72,031","$13,172","$85,204"
"Signals","45.56%","16,033 hrs","$567,071","$103,698","$670,769"
"Weather & Work Zone","0.29%","101 hrs","$3,576","$654","$4,230"
"Holiday, Signals & Weather","0.28%","100 hrs","$3,542","$648","$4,190"
"Unclassified","28.83%","10,144 hrs","$358,804","$65,613","$424,418"
"Weather","4.33%","1,525 hrs","$53,947","$9,865","$63,812"
"Holiday & Signals","3.29%","1,157 hrs","$40,910","$7,481","$48,391"
"Totals","100.0%","35,189 hrs","$1,244,636","$227,603","$1,472,238"
