"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Holiday & Incidents","3.17%","802 hrs","$28,377","$5,189","$33,566"
"Work Zone","2.21%","559 hrs","$19,787","$3,618","$23,405"
"Recurrent","2.2%","558 hrs","$19,719","$3,606","$23,325"
"Recurrent & Unclassified","2.03%","514 hrs","$18,192","$3,327","$21,518"
"Unclassified","17.92%","4,532 hrs","$160,310","$29,315","$189,626"
"Holiday & Work Zone","0.01%","4 hrs","$127","$23","$150"
"Weather","1.52%","385 hrs","$13,609","$2,489","$16,097"
"Incidents & Weather","1.02%","259 hrs","$9,155","$1,674","$10,829"
"Weather & Work Zone","0.09%","22 hrs","$766","$140","$906"
"Holiday & Weather","0.01%","2 hrs","$88","$16","$104"
"Incidents & Work Zone","0.69%","173 hrs","$6,136","$1,122","$7,258"
"Incidents, Weather & Work Zone","0.64%","161 hrs","$5,703","$1,043","$6,745"
"Incidents","58.78%","14,864 hrs","$525,755","$96,143","$621,898"
"Holiday, Incidents & Work Zone","0.4%","100 hrs","$3,544","$648","$4,192"
"Holiday","5.13%","1,298 hrs","$45,914","$8,396","$54,310"
"Incidents & Recurrent","4.17%","1,053 hrs","$37,261","$6,814","$44,074"
"Totals","100.0%","25,288 hrs","$894,441","$163,564","$1,058,005"
