"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Recurrent","16.2%","7,328 hrs","$259,185","$47,396","$306,581"
"Recurrent & Unclassified","1.13%","513 hrs","$18,146","$3,318","$21,464"
"Holiday & Weather","0.07%","34 hrs","$1,194","$218","$1,413"
"Unclassified","66.92%","30,277 hrs","$1,070,905","$195,833","$1,266,738"
"Holiday","7.09%","3,206 hrs","$113,411","$20,739","$134,150"
"Holiday & Recurrent","0.05%","23 hrs","$829","$152","$981"
"Work Zone","4.72%","2,134 hrs","$75,491","$13,805","$89,295"
"Holiday, Recurrent & Weather","0.03%","16 hrs","$548","$100","$649"
"Recurrent & Weather","0.03%","15 hrs","$537","$98","$635"
"Holiday & Work Zone","0.25%","112 hrs","$3,947","$722","$4,669"
"Weather","3.51%","1,586 hrs","$56,097","$10,258","$66,355"
"Totals","100.0%","45,244 hrs","$1,600,290","$292,640","$1,892,930"
