"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Incidents & Signals","0.82%","761 hrs","$26,911","$4,921","$31,832"
"Unclassified","0.76%","711 hrs","$25,141","$4,597","$29,739"
"Recurrent, Signals & Work Zone","0.69%","644 hrs","$22,782","$4,166","$26,948"
"Recurrent","61.63%","57,381 hrs","$2,029,577","$371,142","$2,400,719"
"Signals, Weather & Work Zone","0.49%","455 hrs","$16,079","$2,940","$19,019"
"Incidents, Signals & Weather","0.05%","44 hrs","$1,565","$286","$1,851"
"Signals & Work Zone","4.48%","4,176 hrs","$147,707","$27,011","$174,717"
"Incidents, Signals & Work Zone","0.03%","28 hrs","$997","$182","$1,179"
"Holiday, Signals & Work Zone","0.29%","273 hrs","$9,646","$1,764","$11,410"
"Signals","22.7%","21,135 hrs","$747,531","$136,699","$884,230"
"Holiday, Signals & Weather","0.22%","201 hrs","$7,105","$1,299","$8,404"
"Holiday & Signals","3.12%","2,904 hrs","$102,704","$18,781","$121,485"
"Signals & Weather","2.55%","2,378 hrs","$84,106","$15,380","$99,486"
"Holiday, Recurrent & Signals","0.17%","159 hrs","$5,611","$1,026","$6,637"
"Incidents","0.17%","155 hrs","$5,484","$1,003","$6,487"
"Weather","0.15%","139 hrs","$4,912","$898","$5,810"
"Holiday","0.13%","118 hrs","$4,165","$762","$4,927"
"Recurrent & Signals","1.56%","1,451 hrs","$51,326","$9,386","$60,712"
"Totals","100.0%","93,111 hrs","$3,293,348","$602,244","$3,895,592"
