"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Recurrent & Weather","0.31%","94 hrs","$3,318","$607","$3,924"
"Work Zone","0.03%","8 hrs","$288","$53","$341"
"Incidents","1.26%","377 hrs","$13,349","$2,441","$15,790"
"Weather & Work Zone","0.01%","3 hrs","$114","$21","$134"
"Unclassified","74.75%","22,407 hrs","$792,530","$144,927","$937,457"
"Weather","9.8%","2,937 hrs","$103,871","$18,995","$122,866"
"Holiday, Incidents & Weather","0.61%","184 hrs","$6,505","$1,190","$7,694"
"Holiday & Weather","0.53%","159 hrs","$5,630","$1,029","$6,659"
"Incidents & Weather","0.45%","136 hrs","$4,818","$881","$5,699"
"Recurrent","6.6%","1,978 hrs","$69,953","$12,792","$82,745"
"Holiday","5.64%","1,691 hrs","$59,796","$10,935","$70,731"
"Totals","100.0%","29,974 hrs","$1,060,171","$193,870","$1,254,041"
