"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Holiday","0.15%","96 hrs","$3,398","$621","$4,019"
"Holiday, Incidents & Signals","0.01%","9 hrs","$328","$60","$388"
"Unclassified","1.43%","898 hrs","$31,755","$5,807","$37,562"
"Incidents, Signals & Weather","0.01%","7 hrs","$245","$45","$290"
"Signals, Weather & Work Zone","0.09%","56 hrs","$1,997","$365","$2,362"
"Recurrent, Signals & Weather","0.01%","5 hrs","$189","$35","$224"
"Holiday & Recurrent","0.01%","5 hrs","$174","$32","$206"
"Holiday, Signals & Weather","0.61%","386 hrs","$13,647","$2,496","$16,143"
"Recurrent & Signals","0.06%","36 hrs","$1,261","$231","$1,492"
"Recurrent & Unclassified","0.05%","30 hrs","$1,073","$196","$1,269"
"Recurrent & Weather","0.01%","3 hrs","$121","$22","$143"
"Recurrent","47.71%","29,975 hrs","$1,060,206","$193,876","$1,254,082"
"Incidents & Signals","0.43%","271 hrs","$9,596","$1,755","$11,351"
"Signals","39.96%","25,102 hrs","$887,869","$162,362","$1,050,231"
"Signals & Work Zone","0.35%","222 hrs","$7,864","$1,438","$9,302"
"Signals & Weather","4.5%","2,828 hrs","$100,037","$18,293","$118,330"
"Holiday & Signals","4.38%","2,749 hrs","$97,246","$17,783","$115,029"
"Incidents","0.03%","18 hrs","$635","$116","$751"
"Work Zone","0.02%","15 hrs","$542","$99","$642"
"Weather","0.16%","103 hrs","$3,630","$664","$4,294"
"Totals","100.0%","62,816 hrs","$2,221,814","$406,296","$2,628,110"
