"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Recurrent & Weather","0.11%","84 hrs","$2,975","$544","$3,519"
"Holiday & Recurrent","0.1%","81 hrs","$2,871","$525","$3,396"
"Signals & Work Zone","0.08%","61 hrs","$2,157","$394","$2,551"
"Recurrent & Signals","8.69%","6,900 hrs","$244,037","$44,626","$288,663"
"Holiday & Signals","0.74%","591 hrs","$20,918","$3,825","$24,744"
"Holiday, Signals & Weather","0.06%","51 hrs","$1,787","$327","$2,114"
"Signals & Weather","4.2%","3,334 hrs","$117,932","$21,566","$139,498"
"Recurrent","31.34%","24,882 hrs","$880,087","$160,939","$1,041,026"
"Signals","28.84%","22,903 hrs","$810,070","$148,135","$958,205"
"Holiday & Weather","0.23%","184 hrs","$6,507","$1,190","$7,697"
"Unclassified","19.54%","15,516 hrs","$548,789","$100,355","$649,144"
"Recurrent & Unclassified","0.15%","118 hrs","$4,169","$762","$4,931"
"Recurrent, Signals & Weather","2.4%","1,909 hrs","$67,538","$12,350","$79,889"
"Weather","1.88%","1,490 hrs","$52,694","$9,636","$62,330"
"Holiday","1.64%","1,304 hrs","$46,106","$8,431","$54,537"
"Totals","100.0%","79,407 hrs","$2,808,636","$513,606","$3,322,242"
