"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Signals & Weather","1.03%","92 hrs","$3,241","$593","$3,834"
"Holiday & Weather","0.11%","9 hrs","$332","$61","$393"
"Holiday & Signals","0.08%","7 hrs","$263","$48","$312"
"Unclassified","71.09%","6,333 hrs","$224,007","$40,963","$264,970"
"Incidents & Work Zone","6.45%","574 hrs","$20,317","$3,715","$24,032"
"Incidents","5.74%","512 hrs","$18,096","$3,309","$21,405"
"Signals","5.38%","479 hrs","$16,942","$3,098","$20,040"
"Incidents & Weather","3.07%","274 hrs","$9,676","$1,769","$11,446"
"Holiday & Work Zone","0.21%","19 hrs","$667","$122","$788"
"Holiday","2.1%","187 hrs","$6,606","$1,208","$7,814"
"Work Zone","1.77%","157 hrs","$5,567","$1,018","$6,585"
"Holiday, Incidents & Weather","1.66%","148 hrs","$5,233","$957","$6,190"
"Weather","1.32%","117 hrs","$4,156","$760","$4,916"
"Totals","100.0%","8,909 hrs","$315,103","$57,622","$372,725"
