"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Signals","31.55%","87,220 hrs","$3,084,973","$564,139","$3,649,113"
"Holiday, Signals & Weather","0.25%","701 hrs","$24,784","$4,532","$29,316"
"Signals & Weather","2.64%","7,285 hrs","$257,667","$47,119","$304,785"
"Holiday, Recurrent, Signals & Weather","0.02%","46 hrs","$1,613","$295","$1,908"
"Incidents, Recurrent & Signals","0.01%","40 hrs","$1,429","$261","$1,690"
"Recurrent, Signals & Weather","0.14%","399 hrs","$14,098","$2,578","$16,676"
"Holiday, Recurrent & Signals","0.13%","361 hrs","$12,762","$2,334","$15,096"
"Holiday & Signals","1.27%","3,522 hrs","$124,589","$22,783","$147,372"
"Recurrent","59.94%","165,697 hrs","$5,860,706","$1,071,729","$6,932,435"
"Recurrent & Signals","3.65%","10,091 hrs","$356,925","$65,270","$422,195"
"Incidents & Signals","0.38%","1,061 hrs","$37,510","$6,859","$44,370"
"Totals","100.0%","276,422 hrs","$9,777,056","$1,787,899","$11,564,955"
