"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Unclassified","3.3%","938 hrs","$33,185","$6,068","$39,253"
"Holiday, Incidents, Signals & Weather","2.62%","744 hrs","$26,330","$4,815","$31,145"
"Signals & Work Zone","0.02%","5 hrs","$169","$31","$200"
"Holiday, Incidents & Weather","0.14%","40 hrs","$1,430","$262","$1,692"
"Holiday & Incidents","0.13%","37 hrs","$1,316","$241","$1,557"
"Incidents, Signals & Weather","0.1%","29 hrs","$1,017","$186","$1,203"
"Work Zone","1%","284 hrs","$10,035","$1,835","$11,870"
"Holiday, Incidents & Signals","0.73%","207 hrs","$7,330","$1,340","$8,671"
"Signals & Weather","9.01%","2,560 hrs","$90,547","$16,558","$107,105"
"Holiday & Signals","7.64%","2,170 hrs","$76,769","$14,039","$90,808"
"Signals","57.3%","16,279 hrs","$575,773","$105,290","$681,063"
"Weather","0.05%","14 hrs","$484","$89","$573"
"Holiday, Signals & Weather","6.88%","1,956 hrs","$69,176","$12,650","$81,826"
"Incidents & Signals","6.71%","1,906 hrs","$67,422","$12,329","$79,751"
"Incidents","4.36%","1,239 hrs","$43,809","$8,011","$51,820"
"Totals","100.0%","28,408 hrs","$1,004,793","$183,743","$1,188,536"
