"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Signals & Weather","10.95%","523 hrs","$18,482","$3,380","$21,862"
"Holiday, Signals & Weather","0.99%","47 hrs","$1,666","$305","$1,971"
"Incidents & Signals","7.02%","335 hrs","$11,851","$2,167","$14,018"
"Recurrent & Unclassified","0.06%","3 hrs","$102","$19","$121"
"Recurrent","0.47%","22 hrs","$790","$144","$934"
"Holiday","4.47%","213 hrs","$7,548","$1,380","$8,928"
"Holiday & Weather","0.44%","21 hrs","$749","$137","$886"
"Signals","43.97%","2,099 hrs","$74,233","$13,575","$87,808"
"Weather","3.59%","171 hrs","$6,053","$1,107","$7,160"
"Holiday & Signals","2.94%","140 hrs","$4,968","$909","$5,877"
"Unclassified","25.1%","1,198 hrs","$42,380","$7,750","$50,130"
"Totals","100.0%","4,773 hrs","$168,822","$30,872","$199,694"
