"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Incidents","8.79%","732 hrs","$25,906","$4,737","$30,644"
"Holiday","6.19%","516 hrs","$18,267","$3,340","$21,607"
"Unclassified","66.42%","5,538 hrs","$195,874","$35,819","$231,693"
"Holiday & Incidents","0.54%","45 hrs","$1,592","$291","$1,883"
"Recurrent","0.04%","3 hrs","$120","$22","$142"
"Recurrent & Unclassified","0.03%","3 hrs","$102","$19","$120"
"Holiday & Weather","0.35%","29 hrs","$1,023","$187","$1,210"
"Incidents & Weather","1.48%","124 hrs","$4,377","$800","$5,178"
"Holiday, Incidents & Weather","0.14%","11 hrs","$406","$74","$480"
"Weather","16.01%","1,335 hrs","$47,223","$8,636","$55,859"
"Totals","100.0%","8,337 hrs","$294,890","$53,926","$348,816"
