"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Holiday & Weather","1.02%","708 hrs","$25,027","$4,577","$29,604"
"Incidents","0.82%","569 hrs","$20,109","$3,677","$23,786"
"Unclassified","64.2%","44,326 hrs","$1,567,811","$286,701","$1,854,512"
"Holiday","6.96%","4,805 hrs","$169,959","$31,080","$201,038"
"Weather","6.35%","4,386 hrs","$155,146","$28,371","$183,517"
"Holiday & Work Zone","0.01%","4 hrs","$129","$24","$152"
"Recurrent & Weather","0.35%","238 hrs","$8,435","$1,543","$9,978"
"Holiday & Recurrent","0.25%","171 hrs","$6,061","$1,108","$7,170"
"Work Zone","0.23%","156 hrs","$5,529","$1,011","$6,540"
"Recurrent","17.59%","12,147 hrs","$429,629","$78,565","$508,193"
"Incidents & Weather","0.17%","117 hrs","$4,142","$757","$4,900"
"Weather & Work Zone","0.16%","110 hrs","$3,902","$714","$4,616"
"Recurrent & Unclassified","1.89%","1,301 hrs","$46,032","$8,418","$54,450"
"Totals","100.0%","69,039 hrs","$2,441,912","$446,545","$2,888,456"
