"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Signals & Work Zone","18.08%","627 hrs","$22,191","$4,058","$26,249"
"Holiday","1.14%","40 hrs","$1,402","$256","$1,659"
"Incidents & Signals","1.15%","40 hrs","$1,407","$257","$1,664"
"Holiday & Signals","0.99%","34 hrs","$1,219","$223","$1,441"
"Unclassified","8.65%","300 hrs","$10,620","$1,942","$12,562"
"Signals & Weather","6.95%","241 hrs","$8,528","$1,559","$10,087"
"Weather","0.69%","24 hrs","$845","$155","$1,000"
"Signals, Weather & Work Zone","5.85%","203 hrs","$7,177","$1,313","$8,490"
"Holiday, Signals & Work Zone","2.95%","102 hrs","$3,615","$661","$4,276"
"Signals","53.52%","1,857 hrs","$65,680","$12,011","$77,691"
"Holiday & Weather","0.03%","1 hrs","$33","$6","$39"
"Totals","100.0%","3,470 hrs","$122,718","$22,441","$145,159"
