"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Incidents & Signals","6.18%","86 hrs","$3,057","$559","$3,616"
"Unclassified","38.74%","541 hrs","$19,150","$3,502","$22,652"
"Holiday & Signals","0.29%","4 hrs","$142","$26","$167"
"Incidents","22.92%","320 hrs","$11,328","$2,071","$13,399"
"Holiday","1.87%","26 hrs","$926","$169","$1,095"
"Signals","17.27%","241 hrs","$8,537","$1,561","$10,098"
"Signals & Weather","1.48%","21 hrs","$734","$134","$868"
"Signals & Work Zone","1.11%","16 hrs","$549","$100","$650"
"Weather","10.13%","142 hrs","$5,009","$916","$5,926"
"Totals","100.0%","1,398 hrs","$49,431","$9,039","$58,470"
