"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Holiday","5.79%","910 hrs","$32,195","$5,887","$38,082"
"Unclassified","57.49%","9,040 hrs","$319,747","$58,471","$378,218"
"Incidents & Weather","0.57%","89 hrs","$3,159","$578","$3,736"
"Recurrent","25.6%","4,025 hrs","$142,376","$26,036","$168,411"
"Holiday & Recurrent","0.02%","3 hrs","$109","$20","$129"
"Recurrent & Unclassified","0.18%","29 hrs","$1,012","$185","$1,198"
"Signals","1.5%","235 hrs","$8,325","$1,522","$9,847"
"Work Zone","0.13%","20 hrs","$706","$129","$835"
"Weather & Work Zone","0.02%","2 hrs","$86","$16","$102"
"Holiday & Work Zone","0.01%","2 hrs","$70","$13","$83"
"Signals & Weather","0.09%","13 hrs","$473","$87","$560"
"Holiday & Signals","0.08%","12 hrs","$431","$79","$510"
"Holiday & Weather","0.68%","107 hrs","$3,781","$692","$4,473"
"Weather","7.84%","1,233 hrs","$43,625","$7,978","$51,602"
"Recurrent & Weather","0.01%","1 hrs","$42","$8","$49"
"Totals","100.0%","15,723 hrs","$556,137","$101,699","$657,836"
