"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Signals & Weather","0.16%","9 hrs","$323","$59","$382"
"Incidents & Signals","0.16%","9 hrs","$315","$58","$373"
"Weather","14.08%","799 hrs","$28,259","$5,168","$33,427"
"Recurrent & Unclassified","1.35%","77 hrs","$2,706","$495","$3,201"
"Holiday & Weather","1.13%","64 hrs","$2,267","$415","$2,681"
"Unclassified","76.08%","4,316 hrs","$152,673","$27,919","$180,592"
"Recurrent & Work Zone","0.07%","4 hrs","$137","$25","$162"
"Holiday & Recurrent","0.06%","4 hrs","$125","$23","$148"
"Signals & Work Zone","0.06%","3 hrs","$112","$21","$133"
"Holiday","5%","284 hrs","$10,030","$1,834","$11,864"
"Work Zone","0.47%","27 hrs","$942","$172","$1,115"
"Recurrent","0.45%","25 hrs","$893","$163","$1,057"
"Signals","0.4%","23 hrs","$809","$148","$956"
"Holiday & Signals","0.03%","2 hrs","$58","$11","$69"
"Recurrent & Weather","0.33%","19 hrs","$659","$120","$779"
"Weather & Work Zone","0.18%","10 hrs","$357","$65","$422"
"Totals","100.0%","5,673 hrs","$200,666","$36,695","$237,361"
