"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Incidents, Weather & Work Zone","0.51%","85 hrs","$2,994","$548","$3,542"
"Unclassified","25.67%","4,258 hrs","$150,609","$27,541","$178,150"
"Incidents","20.31%","3,369 hrs","$119,163","$21,791","$140,954"
"Incidents & Work Zone","19.69%","3,265 hrs","$115,500","$21,121","$136,621"
"Holiday & Weather","1.37%","227 hrs","$8,042","$1,471","$9,512"
"Holiday, Weather & Work Zone","0.12%","20 hrs","$712","$130","$842"
"Holiday, Incidents & Weather","0.01%","2 hrs","$66","$12","$78"
"Holiday & Work Zone","0.11%","19 hrs","$668","$122","$790"
"Holiday, Incidents, Weather & Work Zone","0.1%","17 hrs","$600","$110","$710"
"Incidents & Weather","1%","166 hrs","$5,888","$1,077","$6,965"
"Holiday, Incidents & Work Zone","0.83%","138 hrs","$4,893","$895","$5,788"
"Weather & Work Zone","8.2%","1,360 hrs","$48,114","$8,798","$56,912"
"Holiday","8.05%","1,335 hrs","$47,215","$8,634","$55,849"
"Work Zone","7.27%","1,205 hrs","$42,633","$7,796","$50,430"
"Weather","6.75%","1,120 hrs","$39,617","$7,245","$46,861"
"Totals","100.0%","16,588 hrs","$586,713","$107,290","$694,003"
