"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Incidents & Recurrent","0.92%","773 hrs","$27,325","$4,997","$32,322"
"Recurrent","75.27%","62,916 hrs","$2,225,337","$406,940","$2,632,278"
"Work Zone","0.07%","62 hrs","$2,195","$401","$2,596"
"Incidents & Weather","0.06%","53 hrs","$1,884","$345","$2,229"
"Holiday & Weather","0.33%","274 hrs","$9,701","$1,774","$11,475"
"Holiday & Recurrent","0.02%","17 hrs","$605","$111","$716"
"Unclassified","15.43%","12,900 hrs","$456,278","$83,438","$539,716"
"Recurrent & Weather","1.76%","1,469 hrs","$51,954","$9,501","$61,454"
"Weather","1.71%","1,429 hrs","$50,539","$9,242","$59,780"
"Holiday","1.63%","1,359 hrs","$48,067","$8,790","$56,857"
"Incidents","1.55%","1,296 hrs","$45,841","$8,383","$54,224"
"Recurrent & Unclassified","1.25%","1,042 hrs","$36,844","$6,738","$43,581"
"Totals","100.0%","83,590 hrs","$2,956,569","$540,659","$3,497,228"
