"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Weather","2.95%","6,643 hrs","$234,970","$42,968","$277,938"
"Holiday & Recurrent","0.24%","549 hrs","$19,407","$3,549","$22,956"
"Holiday","2.52%","5,678 hrs","$200,816","$36,723","$237,539"
"Incidents, Recurrent & Weather","2.2%","4,960 hrs","$175,439","$32,082","$207,521"
"Recurrent & Weather","2.05%","4,621 hrs","$163,432","$29,886","$193,318"
"Incidents & Weather","1.94%","4,371 hrs","$154,618","$28,275","$182,893"
"Work Zone","0.01%","32 hrs","$1,146","$209","$1,355"
"Incidents","12.81%","28,855 hrs","$1,020,600","$186,634","$1,207,234"
"Unclassified","10.06%","22,651 hrs","$801,165","$146,507","$947,672"
"Recurrent & Unclassified","9.12%","20,547 hrs","$726,757","$132,900","$859,656"
"Holiday, Incidents & Weather","0.96%","2,161 hrs","$76,437","$13,978","$90,415"
"Holiday, Incidents & Recurrent","0.95%","2,146 hrs","$75,908","$13,881","$89,789"
"Incidents & Recurrent","8.21%","18,489 hrs","$653,940","$119,584","$773,524"
"Recurrent","44.54%","100,298 hrs","$3,547,523","$648,724","$4,196,247"
"Holiday & Incidents","0.85%","1,911 hrs","$67,578","$12,358","$79,935"
"Holiday & Weather","0.57%","1,277 hrs","$45,164","$8,259","$53,423"
"Totals","100.0%","225,188 hrs","$7,964,900","$1,456,516","$9,421,416"
