"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Holiday","4.2%","994 hrs","$35,171","$6,432","$41,603"
"Recurrent","37.98%","8,998 hrs","$318,247","$58,197","$376,443"
"Weather","3.06%","725 hrs","$25,657","$4,692","$30,349"
"Incidents & Work Zone","0.29%","68 hrs","$2,397","$438","$2,835"
"Holiday & Incidents","0.02%","5 hrs","$163","$30","$193"
"Work Zone","2.09%","494 hrs","$17,488","$3,198","$20,687"
"Recurrent & Weather","0.18%","43 hrs","$1,506","$275","$1,781"
"Weather & Work Zone","0.02%","4 hrs","$159","$29","$188"
"Holiday & Weather","0.14%","34 hrs","$1,189","$217","$1,407"
"Holiday & Recurrent","0.13%","31 hrs","$1,093","$200","$1,292"
"Recurrent & Unclassified","1.17%","276 hrs","$9,776","$1,788","$11,564"
"Holiday & Work Zone","0.07%","17 hrs","$611","$112","$723"
"Incidents & Weather","0.61%","145 hrs","$5,120","$936","$6,057"
"Incidents & Recurrent","0.06%","14 hrs","$513","$94","$606"
"Unclassified","43.98%","10,419 hrs","$368,517","$67,389","$435,906"
"Incidents","6%","1,422 hrs","$50,297","$9,198","$59,495"
"Totals","100.0%","23,690 hrs","$837,904","$153,225","$991,129"
