"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Holiday & Weather","0.56%","89 hrs","$3,133","$573","$3,706"
"Holiday & Incidents","0.55%","87 hrs","$3,087","$565","$3,652"
"Unclassified","52.77%","8,399 hrs","$297,070","$54,324","$351,395"
"Holiday & Signals","0.4%","63 hrs","$2,243","$410","$2,653"
"Recurrent & Unclassified","0.32%","52 hrs","$1,827","$334","$2,161"
"Signals & Weather","0.03%","5 hrs","$161","$30","$191"
"Work Zone","2.37%","377 hrs","$13,348","$2,441","$15,789"
"Holiday & Work Zone","2.35%","374 hrs","$13,221","$2,418","$15,639"
"Recurrent","22.44%","3,572 hrs","$126,345","$23,104","$149,449"
"Incidents","1.72%","274 hrs","$9,708","$1,775","$11,484"
"Signals","1.59%","253 hrs","$8,937","$1,634","$10,571"
"Incidents & Weather","0.14%","22 hrs","$780","$143","$923"
"Incidents & Signals","0.12%","19 hrs","$671","$123","$794"
"Incidents & Work Zone","0.09%","15 hrs","$515","$94","$609"
"Incidents, Signals & Weather","0.89%","141 hrs","$4,999","$914","$5,913"
"Holiday & Recurrent","0.09%","14 hrs","$494","$90","$584"
"Holiday","7.09%","1,128 hrs","$39,905","$7,297","$47,203"
"Weather","6.47%","1,030 hrs","$36,420","$6,660","$43,080"
"Recurrent & Weather","0.01%","1 hrs","$28","$5","$33"
"Totals","100.0%","15,914 hrs","$562,894","$102,935","$665,829"
