"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Holiday","0.07%","6 hrs","$195","$36","$231"
"Holiday & Signals","6.24%","472 hrs","$16,700","$3,054","$19,754"
"Weather","0.4%","30 hrs","$1,067","$195","$1,263"
"Unclassified","47.06%","3,561 hrs","$125,945","$23,031","$148,976"
"Signals","39.77%","3,010 hrs","$106,447","$19,466","$125,912"
"Recurrent","3.71%","281 hrs","$9,940","$1,818","$11,758"
"Signals & Weather","2.52%","191 hrs","$6,751","$1,234","$7,985"
"Recurrent & Unclassified","0.2%","15 hrs","$535","$98","$632"
"Holiday & Weather","0.01%","1 hrs","$21","$4","$25"
"Holiday & Recurrent","0.01%","0 hrs","$17","$3","$20"
"Totals","100.0%","7,566 hrs","$267,617","$48,938","$316,555"
