"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Incidents, Signals & Weather","0.16%","9 hrs","$307","$56","$363"
"Unclassified","10.98%","592 hrs","$20,927","$3,827","$24,754"
"Incidents","10.31%","556 hrs","$19,654","$3,594","$23,248"
"Holiday, Signals & Weather","0.1%","5 hrs","$182","$33","$216"
"Holiday & Signals","7.98%","430 hrs","$15,218","$2,783","$18,001"
"Holiday","0.72%","39 hrs","$1,367","$250","$1,617"
"Recurrent","5.62%","303 hrs","$10,712","$1,959","$12,671"
"Signals & Weather","5.59%","301 hrs","$10,663","$1,950","$12,613"
"Signals","54.64%","2,944 hrs","$104,137","$19,043","$123,180"
"Incidents & Signals","3.61%","194 hrs","$6,878","$1,258","$8,136"
"Work Zone","0.28%","15 hrs","$543","$99","$642"
"Totals","100.0%","5,388 hrs","$190,589","$34,852","$225,441"
