"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Recurrent & Unclassified","0.69%","990 hrs","$35,004","$6,401","$41,405"
"Recurrent","4.36%","6,268 hrs","$221,708","$40,543","$262,251"
"Incidents","30.99%","44,566 hrs","$1,576,308","$288,254","$1,864,562"
"Holiday","3.17%","4,561 hrs","$161,308","$29,498","$190,806"
"Weather","3.11%","4,467 hrs","$158,007","$28,894","$186,901"
"Incidents & Recurrent","3.02%","4,344 hrs","$153,632","$28,094","$181,726"
"Incidents, Weather & Work Zone","3.02%","4,339 hrs","$153,463","$28,063","$181,526"
"Work Zone","3.01%","4,335 hrs","$153,332","$28,039","$181,371"
"Holiday & Incidents","2.79%","4,015 hrs","$142,007","$25,968","$167,976"
"Incidents & Work Zone","18.78%","27,004 hrs","$955,124","$174,661","$1,129,785"
"Unclassified","15.63%","22,483 hrs","$795,214","$145,418","$940,632"
"Holiday & Work Zone","0.09%","122 hrs","$4,328","$791","$5,119"
"Incidents & Weather","8.18%","11,771 hrs","$416,330","$76,133","$492,463"
"Holiday, Incidents & Weather","0.01%","11 hrs","$387","$71","$458"
"Recurrent & Weather","1.3%","1,866 hrs","$65,988","$12,067","$78,054"
"Holiday, Incidents & Work Zone","1.01%","1,452 hrs","$51,357","$9,392","$60,749"
"Weather & Work Zone","0.85%","1,218 hrs","$43,097","$7,881","$50,977"
"Totals","100.0%","143,811 hrs","$5,086,593","$930,169","$6,016,762"
