"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Signals","66.15%","8,530 hrs","$301,693","$55,170","$356,862"
"Holiday & Signals","4.11%","530 hrs","$18,732","$3,426","$22,158"
"Recurrent & Signals","3.22%","416 hrs","$14,697","$2,688","$17,385"
"Holiday","0.03%","4 hrs","$131","$24","$155"
"Signals & Work Zone","2.4%","309 hrs","$10,936","$2,000","$12,935"
"Weather","0.02%","3 hrs","$99","$18","$117"
"Holiday, Signals & Weather","1.46%","189 hrs","$6,674","$1,220","$7,894"
"Unclassified","0.14%","18 hrs","$643","$118","$761"
"Recurrent, Signals & Weather","0.89%","115 hrs","$4,053","$741","$4,794"
"Recurrent","12.02%","1,549 hrs","$54,802","$10,021","$64,823"
"Signals & Weather","9.56%","1,233 hrs","$43,610","$7,975","$51,585"
"Totals","100.0%","12,894 hrs","$456,070","$83,400","$539,470"
