"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Unclassified","43.94%","9,133 hrs","$323,046","$59,074","$382,121"
"Holiday & Weather","0.43%","89 hrs","$3,165","$579","$3,743"
"Holiday & Signals","0.4%","82 hrs","$2,905","$531","$3,437"
"Holiday","3.09%","643 hrs","$22,747","$4,160","$26,907"
"Signals","26.61%","5,531 hrs","$195,621","$35,773","$231,394"
"Weather","21.43%","4,456 hrs","$157,603","$28,820","$186,423"
"Signals & Weather","1.53%","318 hrs","$11,233","$2,054","$13,287"
"Recurrent","1.39%","288 hrs","$10,203","$1,866","$12,069"
"Incidents","1.09%","226 hrs","$7,999","$1,463","$9,461"
"Holiday, Signals & Weather","0.1%","21 hrs","$741","$136","$877"
"Totals","100.0%","20,788 hrs","$735,264","$134,455","$869,719"
