"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Holiday, Recurrent & Signals","0.09%","93 hrs","$3,307","$605","$3,911"
"Recurrent, Signals & Weather","0.69%","716 hrs","$25,336","$4,633","$29,969"
"Recurrent & Weather","0.66%","695 hrs","$24,569","$4,493","$29,062"
"Recurrent & Unclassified","6%","6,265 hrs","$221,587","$40,521","$262,108"
"Recurrent","55.15%","57,614 hrs","$2,037,810","$372,648","$2,410,458"
"Holiday & Weather","0.33%","344 hrs","$12,169","$2,225","$14,394"
"Signals & Weather","0.33%","340 hrs","$12,032","$2,200","$14,233"
"Signals","3.54%","3,700 hrs","$130,879","$23,933","$154,812"
"Unclassified","26.14%","27,304 hrs","$965,743","$176,602","$1,142,345"
"Holiday & Recurrent","0.2%","213 hrs","$7,544","$1,380","$8,923"
"Weather","2.85%","2,977 hrs","$105,282","$19,253","$124,535"
"Recurrent & Signals","2.73%","2,852 hrs","$100,887","$18,449","$119,336"
"Holiday, Signals & Weather","0.02%","19 hrs","$660","$121","$780"
"Holiday & Signals","0.14%","143 hrs","$5,057","$925","$5,981"
"Holiday","1.14%","1,191 hrs","$42,136","$7,705","$49,841"
"Totals","100.0%","104,467 hrs","$3,694,996","$675,692","$4,370,688"
