"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Recurrent & Weather","0.13%","91 hrs","$3,204","$586","$3,790"
"Recurrent & Unclassified","1.27%","858 hrs","$30,355","$5,551","$35,906"
"Holiday, Signals & Weather","0.91%","614 hrs","$21,733","$3,974","$25,707"
"Recurrent & Signals","9.03%","6,103 hrs","$215,875","$39,476","$255,352"
"Holiday, Recurrent & Weather","0.01%","6 hrs","$211","$39","$250"
"Holiday & Recurrent","0.08%","55 hrs","$1,945","$356","$2,301"
"Recurrent, Signals & Weather","5.54%","3,746 hrs","$132,489","$24,228","$156,717"
"Holiday & Weather","0.39%","267 hrs","$9,430","$1,724","$11,154"
"Signals","31.12%","21,028 hrs","$743,751","$136,007","$879,759"
"Signals & Weather","4.06%","2,740 hrs","$96,917","$17,723","$114,640"
"Recurrent","21.79%","14,721 hrs","$520,678","$95,215","$615,893"
"Unclassified","20.08%","13,566 hrs","$479,818","$87,743","$567,561"
"Holiday & Signals","2.03%","1,370 hrs","$48,441","$8,858","$57,299"
"Weather","1.79%","1,208 hrs","$42,717","$7,812","$50,529"
"Holiday","1.76%","1,189 hrs","$42,045","$7,689","$49,733"
"Totals","100.0%","67,560 hrs","$2,389,610","$436,980","$2,826,590"
