"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Incidents","2.02%","777 hrs","$27,473","$5,024","$32,497"
"Weather & Work Zone","0.19%","73 hrs","$2,592","$474","$3,067"
"Holiday & Recurrent","1.79%","687 hrs","$24,315","$4,446","$28,761"
"Incidents & Signals","0.14%","53 hrs","$1,876","$343","$2,219"
"Signals & Weather","1.14%","436 hrs","$15,413","$2,818","$18,231"
"Recurrent","12.72%","4,879 hrs","$172,579","$31,559","$204,138"
"Recurrent & Unclassified","12.08%","4,634 hrs","$163,920","$29,975","$193,895"
"Signals","11.04%","4,234 hrs","$149,768","$27,388","$177,155"
"Incidents & Work Zone","0.08%","32 hrs","$1,149","$210","$1,359"
"Signals & Work Zone","0.08%","31 hrs","$1,089","$199","$1,288"
"Work Zone","0.79%","302 hrs","$10,697","$1,956","$12,654"
"Holiday & Signals","0.69%","266 hrs","$9,392","$1,718","$11,110"
"Recurrent & Weather","0.64%","244 hrs","$8,621","$1,577","$10,198"
"Holiday & Work Zone","0.63%","243 hrs","$8,604","$1,573","$10,178"
"Unclassified","47.01%","18,038 hrs","$637,994","$116,668","$754,662"
"Incidents & Weather","0.05%","18 hrs","$639","$117","$755"
"Holiday & Weather","0.36%","138 hrs","$4,885","$893","$5,779"
"Holiday, Signals & Weather","0.3%","114 hrs","$4,041","$739","$4,779"
"Recurrent & Signals","0.29%","112 hrs","$3,956","$724","$4,680"
"Signals, Weather & Work Zone","0.03%","10 hrs","$367","$67","$434"
"Weather","4.17%","1,598 hrs","$56,538","$10,339","$66,877"
"Holiday","3.78%","1,450 hrs","$51,279","$9,377","$60,656"
"Totals","100.0%","38,371 hrs","$1,357,187","$248,184","$1,605,371"
