"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Holiday","0.16%","95 hrs","$3,376","$617","$3,993"
"Signals & Work Zone","0.01%","9 hrs","$312","$57","$369"
"Recurrent, Signals & Weather","0.89%","536 hrs","$18,953","$3,466","$22,419"
"Holiday, Recurrent & Signals","0.72%","433 hrs","$15,298","$2,797","$18,095"
"Holiday, Signals & Weather","0.07%","41 hrs","$1,443","$264","$1,707"
"Incidents, Signals & Weather","0.62%","373 hrs","$13,194","$2,413","$15,607"
"Incidents & Signals","0.59%","355 hrs","$12,555","$2,296","$14,851"
"Recurrent","55.27%","33,217 hrs","$1,174,878","$214,846","$1,389,724"
"Weather","0.49%","293 hrs","$10,356","$1,894","$12,249"
"Holiday & Weather","0.04%","27 hrs","$940","$172","$1,111"
"Recurrent & Signals","3.66%","2,202 hrs","$77,901","$14,245","$92,146"
"Signals & Weather","3.6%","2,166 hrs","$76,628","$14,013","$90,640"
"Signals","26.56%","15,965 hrs","$564,671","$103,260","$667,931"
"Unclassified","2.99%","1,794 hrs","$63,452","$11,603","$75,056"
"Holiday & Signals","2.39%","1,438 hrs","$50,858","$9,300","$60,159"
"Incidents, Recurrent & Signals","1.92%","1,154 hrs","$40,826","$7,466","$48,292"
"Totals","100.0%","60,097 hrs","$2,125,641","$388,709","$2,514,350"
