"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Signals","2.21%","883 hrs","$31,219","$5,709","$36,928"
"Recurrent","20.85%","8,337 hrs","$294,862","$53,921","$348,783"
"Incidents & Recurrent","0.13%","51 hrs","$1,805","$330","$2,134"
"Recurrent & Unclassified","13.88%","5,551 hrs","$196,330","$35,902","$232,232"
"Recurrent & Weather","1.18%","472 hrs","$16,678","$3,050","$19,728"
"Holiday & Signals","0.11%","42 hrs","$1,487","$272","$1,759"
"Holiday, Signals & Weather","0.1%","41 hrs","$1,434","$262","$1,696"
"Weather & Work Zone","0.01%","4 hrs","$143","$26","$169"
"Incidents & Signals","0.81%","325 hrs","$11,479","$2,099","$13,578"
"Unclassified","50.8%","20,309 hrs","$718,325","$131,358","$849,683"
"Holiday & Incidents","0.01%","2 hrs","$80","$15","$95"
"Work Zone","0.4%","158 hrs","$5,588","$1,022","$6,610"
"Recurrent & Work Zone","0.39%","155 hrs","$5,474","$1,001","$6,475"
"Holiday & Weather","0.35%","142 hrs","$5,010","$916","$5,926"
"Signals & Weather","0.35%","140 hrs","$4,949","$905","$5,854"
"Holiday & Recurrent","0.34%","136 hrs","$4,814","$880","$5,694"
"Incidents","0.28%","111 hrs","$3,927","$718","$4,645"
"Signals & Work Zone","0.27%","109 hrs","$3,842","$703","$4,544"
"Weather","4.14%","1,656 hrs","$58,557","$10,708","$69,265"
"Holiday","3.4%","1,358 hrs","$48,038","$8,784","$56,822"
"Totals","100.0%","39,979 hrs","$1,414,040","$258,581","$1,672,622"
