"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Signals","58.21%","87,747 hrs","$3,103,628","$567,551","$3,671,179"
"Unclassified","0.05%","74 hrs","$2,619","$479","$3,098"
"Holiday & Signals","5.01%","7,554 hrs","$267,171","$48,857","$316,028"
"Holiday, Signals & Weather","0.03%","41 hrs","$1,447","$265","$1,711"
"Incidents & Signals","0.26%","388 hrs","$13,706","$2,506","$16,213"
"Signals, Weather & Work Zone","2.65%","3,998 hrs","$141,401","$25,857","$167,258"
"Signals & Work Zone","11.97%","18,045 hrs","$638,261","$116,717","$754,978"
"Signals & Weather","11.92%","17,970 hrs","$635,591","$116,228","$751,819"
"Recurrent","8.61%","12,977 hrs","$459,012","$83,938","$542,950"
"Holiday, Signals & Work Zone","1.3%","1,955 hrs","$69,141","$12,644","$81,784"
"Totals","100.0%","150,749 hrs","$5,331,976","$975,042","$6,307,017"
