"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Unclassified","18.67%","9,584 hrs","$338,980","$61,988","$400,968"
"Holiday, Incidents & Signals","0.17%","85 hrs","$3,020","$552","$3,572"
"Weather","1.64%","844 hrs","$29,844","$5,457","$35,302"
"Incidents, Signals & Weather","0.13%","68 hrs","$2,412","$441","$2,853"
"Incidents","0.12%","63 hrs","$2,227","$407","$2,634"
"Incidents, Signals, Weather & Work Zone","0.12%","60 hrs","$2,105","$385","$2,490"
"Signals, Weather & Work Zone","0.12%","59 hrs","$2,103","$384","$2,487"
"Work Zone","0.01%","5 hrs","$174","$32","$205"
"Incidents, Recurrent & Signals","0.87%","447 hrs","$15,795","$2,888","$18,683"
"Recurrent, Signals & Weather","0.67%","345 hrs","$12,196","$2,230","$14,426"
"Holiday & Signals","6.1%","3,132 hrs","$110,762","$20,255","$131,017"
"Recurrent & Signals","0.47%","243 hrs","$8,581","$1,569","$10,150"
"Holiday, Signals & Work Zone","0.04%","22 hrs","$763","$140","$903"
"Incidents, Signals & Work Zone","0.39%","203 hrs","$7,169","$1,311","$8,480"
"Signals","35.29%","18,116 hrs","$640,751","$117,172","$757,923"
"Holiday, Signals & Weather","0.3%","152 hrs","$5,363","$981","$6,344"
"Holiday & Weather","0.26%","133 hrs","$4,715","$862","$5,577"
"Recurrent","23.57%","12,100 hrs","$427,978","$78,263","$506,241"
"Signals & Weather","3.69%","1,893 hrs","$66,942","$12,241","$79,183"
"Holiday","2.7%","1,387 hrs","$49,046","$8,969","$58,015"
"Signals & Work Zone","2.6%","1,335 hrs","$47,214","$8,634","$55,848"
"Incidents & Signals","2.07%","1,065 hrs","$37,674","$6,889","$44,563"
"Totals","100.0%","51,338 hrs","$1,815,813","$332,052","$2,147,864"
