"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Unclassified","21.91%","867 hrs","$30,655","$5,606","$36,261"
"Weather","1.97%","78 hrs","$2,749","$503","$3,252"
"Signals & Weather","18.93%","749 hrs","$26,483","$4,843","$31,326"
"Incidents & Signals","1.22%","48 hrs","$1,702","$311","$2,014"
"Holiday, Signals & Work Zone","0.92%","36 hrs","$1,285","$235","$1,520"
"Holiday & Signals","3.61%","143 hrs","$5,051","$924","$5,975"
"Holiday","2.94%","116 hrs","$4,119","$753","$4,872"
"Holiday & Weather","0.26%","10 hrs","$368","$67","$435"
"Signals","48.24%","1,908 hrs","$67,496","$12,343","$79,838"
"Totals","100.0%","3,956 hrs","$139,909","$25,585","$165,493"
