"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Holiday & Weather","0.13%","8 hrs","$278","$51","$329"
"Recurrent & Signals","0.11%","7 hrs","$239","$44","$283"
"Holiday","1.14%","68 hrs","$2,392","$437","$2,830"
"Recurrent","1.02%","60 hrs","$2,127","$389","$2,516"
"Holiday, Signals & Weather","0.59%","35 hrs","$1,225","$224","$1,449"
"Signals & Weather","5.08%","301 hrs","$10,646","$1,947","$12,593"
"Signals","63.28%","3,747 hrs","$132,529","$24,235","$156,765"
"Holiday & Signals","4.74%","281 hrs","$9,927","$1,815","$11,743"
"Weather","1.78%","106 hrs","$3,732","$682","$4,414"
"Work Zone","0.16%","10 hrs","$343","$63","$406"
"Unclassified","21.96%","1,301 hrs","$46,001","$8,412","$54,413"
"Totals","100.0%","5,921 hrs","$209,440","$38,300","$247,740"
