"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Incidents & Work Zone","0.18%","9 hrs","$333","$61","$394"
"Weather","16.66%","867 hrs","$30,659","$5,606","$36,265"
"Incidents","16.26%","846 hrs","$29,909","$5,469","$35,378"
"Incidents & Weather","1.22%","63 hrs","$2,246","$411","$2,656"
"Holiday","0.67%","35 hrs","$1,239","$227","$1,465"
"Unclassified","43.19%","2,247 hrs","$79,466","$14,532","$93,998"
"Incidents & Signals","2.16%","113 hrs","$3,980","$728","$4,708"
"Holiday & Signals","0.2%","11 hrs","$372","$68","$440"
"Signals","19.45%","1,012 hrs","$35,777","$6,542","$42,319"
"Totals","100.0%","5,202 hrs","$183,981","$33,644","$217,626"
