"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Unclassified","62.83%","9,679 hrs","$342,360","$62,606","$404,966"
"Holiday, Incidents & Weather","0.05%","8 hrs","$269","$49","$319"
"Holiday & Incidents","0.43%","67 hrs","$2,369","$433","$2,802"
"Holiday & Weather","0.31%","48 hrs","$1,704","$312","$2,016"
"Work Zone","0.27%","41 hrs","$1,454","$266","$1,720"
"Weather & Work Zone","0.22%","33 hrs","$1,179","$216","$1,394"
"Incidents","12.9%","1,988 hrs","$70,302","$12,856","$83,158"
"Holiday","8.42%","1,297 hrs","$45,882","$8,390","$54,273"
"Weather","7.53%","1,160 hrs","$41,021","$7,501","$48,522"
"Incidents & Weather","7.05%","1,085 hrs","$38,392","$7,021","$45,413"
"Totals","100.0%","15,407 hrs","$544,933","$99,650","$644,583"
