"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Holiday, Signals & Weather","0.37%","95 hrs","$3,351","$613","$3,963"
"Signals & Weather","2.94%","759 hrs","$26,860","$4,912","$31,772"
"Signals","28.86%","7,459 hrs","$263,826","$48,245","$312,071"
"Holiday & Signals","2.59%","669 hrs","$23,658","$4,326","$27,984"
"Incidents, Signals & Weather","0.02%","6 hrs","$227","$42","$269"
"Holiday & Weather","0.18%","47 hrs","$1,658","$303","$1,961"
"Signals & Work Zone","0.18%","46 hrs","$1,613","$295","$1,908"
"Holiday, Incidents & Signals","0.02%","4 hrs","$146","$27","$173"
"Unclassified","12.2%","3,154 hrs","$111,566","$20,402","$131,967"
"Weather","1.1%","285 hrs","$10,063","$1,840","$11,904"
"Recurrent & Signals","0.11%","28 hrs","$1,005","$184","$1,189"
"Holiday","1.05%","271 hrs","$9,600","$1,756","$11,355"
"Incidents & Signals","0.1%","25 hrs","$902","$165","$1,067"
"Recurrent & Weather","0.08%","20 hrs","$702","$128","$830"
"Incidents","0.01%","2 hrs","$57","$10","$68"
"Recurrent & Unclassified","0.76%","196 hrs","$6,946","$1,270","$8,216"
"Holiday & Recurrent","0.07%","17 hrs","$610","$112","$722"
"Holiday, Recurrent & Signals","0.05%","13 hrs","$472","$86","$558"
"Recurrent","49.32%","12,749 hrs","$450,922","$82,459","$533,380"
"Holiday, Recurrent & Weather","0.01%","1 hrs","$48","$9","$57"
"Totals","100.0%","25,848 hrs","$914,232","$167,183","$1,081,415"
