"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Recurrent","33.78%","98,534 hrs","$3,485,148","$637,318","$4,122,466"
"Holiday","0.28%","824 hrs","$29,129","$5,327","$34,456"
"Incidents","0.03%","78 hrs","$2,775","$507","$3,282"
"Holiday & Weather","0.25%","737 hrs","$26,059","$4,765","$30,825"
"Signals & Work Zone","0.14%","397 hrs","$14,039","$2,567","$16,607"
"Holiday, Signals & Weather","1.3%","3,798 hrs","$134,329","$24,564","$158,894"
"Incidents & Signals","1.18%","3,441 hrs","$121,707","$22,256","$143,963"
"Unclassified","7.64%","22,271 hrs","$787,736","$144,051","$931,787"
"Weather","0.71%","2,059 hrs","$72,830","$13,318","$86,148"
"Holiday, Recurrent & Signals","0.07%","199 hrs","$7,039","$1,287","$8,326"
"Signals & Weather","4.63%","13,509 hrs","$477,828","$87,379","$565,206"
"Signals","41.56%","121,216 hrs","$4,287,418","$784,026","$5,071,444"
"Holiday & Signals","3.79%","11,066 hrs","$391,400","$71,574","$462,974"
"Recurrent & Signals","3.65%","10,633 hrs","$376,096","$68,776","$444,872"
"Recurrent & Unclassified","0.53%","1,549 hrs","$54,803","$10,022","$64,825"
"Recurrent, Signals & Weather","0.47%","1,379 hrs","$48,783","$8,921","$57,704"
"Totals","100.0%","291,691 hrs","$10,317,120","$1,886,659","$12,203,779"
