"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Recurrent","12.16%","8,763 hrs","$309,964","$56,682","$366,646"
"Holiday & Weather","0.08%","59 hrs","$2,078","$380","$2,458"
"Weather","7.15%","5,153 hrs","$182,278","$33,333","$215,611"
"Holiday & Work Zone","0.63%","451 hrs","$15,951","$2,917","$18,868"
"Incidents & Work Zone","0.51%","365 hrs","$12,924","$2,363","$15,287"
"Unclassified","51.13%","36,852 hrs","$1,303,447","$238,357","$1,541,804"
"Incidents","0.43%","308 hrs","$10,878","$1,989","$12,867"
"Recurrent & Weather","0.32%","232 hrs","$8,216","$1,502","$9,718"
"Recurrent, Weather & Work Zone","0.3%","217 hrs","$7,687","$1,406","$9,093"
"Holiday & Signals","0.27%","194 hrs","$6,874","$1,257","$8,131"
"Incidents & Weather","0.25%","183 hrs","$6,458","$1,181","$7,639"
"Signals & Weather","0.17%","120 hrs","$4,234","$774","$5,008"
"Holiday, Signals & Weather","0.02%","12 hrs","$408","$75","$482"
"Work Zone","14.63%","10,543 hrs","$372,915","$68,194","$441,109"
"Signals","2.74%","1,974 hrs","$69,804","$12,765","$82,569"
"Holiday","2.69%","1,940 hrs","$68,609","$12,546","$81,155"
"Weather & Work Zone","2.49%","1,795 hrs","$63,480","$11,608","$75,089"
"Recurrent & Unclassified","2.38%","1,715 hrs","$60,662","$11,093","$71,755"
"Recurrent & Work Zone","1.67%","1,204 hrs","$42,582","$7,787","$50,369"
"Totals","100.0%","72,079 hrs","$2,549,449","$466,210","$3,015,658"
