"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Unclassified","30.88%","9,976 hrs","$352,852","$64,525","$417,377"
"Holiday & Signals","2.54%","819 hrs","$28,977","$5,299","$34,276"
"Recurrent","2.17%","701 hrs","$24,809","$4,537","$29,346"
"Incidents, Signals & Work Zone","0.21%","67 hrs","$2,380","$435","$2,815"
"Signals, Weather & Work Zone","0.01%","5 hrs","$168","$31","$198"
"Holiday","1%","322 hrs","$11,375","$2,080","$13,455"
"Holiday, Signals & Weather","0.92%","298 hrs","$10,529","$1,925","$12,454"
"Incidents & Signals","0.07%","21 hrs","$760","$139","$899"
"Signals","47.79%","15,438 hrs","$546,045","$99,854","$645,899"
"Holiday & Weather","0.04%","14 hrs","$484","$89","$573"
"Holiday, Signals, Weather & Work Zone","0.04%","13 hrs","$461","$84","$545"
"Holiday, Signals & Work Zone","0.35%","114 hrs","$4,047","$740","$4,788"
"Signals & Work Zone","5.22%","1,687 hrs","$59,681","$10,914","$70,595"
"Weather","4.55%","1,470 hrs","$51,985","$9,506","$61,492"
"Signals & Weather","4.21%","1,361 hrs","$48,128","$8,801","$56,929"
"Totals","100.0%","32,307 hrs","$1,142,684","$208,959","$1,351,643"
