"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Holiday","1.05%","953 hrs","$33,714","$6,165","$39,879"
"Unclassified","10.73%","9,762 hrs","$345,278","$63,140","$408,418"
"Incidents, Recurrent & Weather","0.72%","659 hrs","$23,301","$4,261","$27,562"
"Holiday, Incidents & Weather","0.72%","651 hrs","$23,027","$4,211","$27,238"
"Incidents, Weather & Work Zone","6.04%","5,493 hrs","$194,297","$35,530","$229,828"
"Holiday, Incidents & Work Zone","0.52%","473 hrs","$16,722","$3,058","$19,780"
"Recurrent","51.86%","47,198 hrs","$1,669,405","$305,279","$1,974,684"
"Weather & Work Zone","0.48%","434 hrs","$15,339","$2,805","$18,144"
"Recurrent & Work Zone","0.05%","43 hrs","$1,505","$275","$1,780"
"Weather","4.7%","4,274 hrs","$151,186","$27,647","$178,833"
"Holiday, Weather & Work Zone","0.04%","33 hrs","$1,151","$210","$1,361"
"Incidents & Work Zone","3.19%","2,907 hrs","$102,834","$18,805","$121,639"
"Incidents & Weather","2.93%","2,665 hrs","$94,268","$17,238","$111,506"
"Incidents & Recurrent","2.49%","2,270 hrs","$80,292","$14,683","$94,975"
"Recurrent & Weather","0.02%","18 hrs","$645","$118","$763"
"Holiday, Incidents, Weather & Work Zone","0.16%","148 hrs","$5,246","$959","$6,205"
"Holiday & Weather","0.15%","140 hrs","$4,954","$906","$5,860"
"Holiday & Incidents","0.11%","101 hrs","$3,582","$655","$4,237"
"Incidents","11.56%","10,518 hrs","$372,009","$68,028","$440,037"
"Work Zone","1.38%","1,256 hrs","$44,410","$8,121","$52,531"
"Incidents, Recurrent & Work Zone","1.12%","1,024 hrs","$36,205","$6,621","$42,825"
"Totals","100.0%","91,020 hrs","$3,219,369","$588,716","$3,808,084"
