"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Incidents","1.48%","654 hrs","$23,115","$4,227","$27,342"
"Holiday, Signals & Work Zone","0.14%","61 hrs","$2,164","$396","$2,560"
"Weather","1.36%","601 hrs","$21,261","$3,888","$25,149"
"Holiday & Weather","0.14%","60 hrs","$2,132","$390","$2,522"
"Unclassified","15.54%","6,844 hrs","$242,089","$44,270","$286,360"
"Holiday, Incidents & Signals","1.14%","503 hrs","$17,795","$3,254","$21,049"
"Incidents & Signals","11.52%","5,074 hrs","$179,463","$32,818","$212,281"
"Incidents & Weather","0.11%","49 hrs","$1,729","$316","$2,045"
"Signals, Weather & Work Zone","1.1%","482 hrs","$17,065","$3,121","$20,186"
"Recurrent","0.91%","400 hrs","$14,145","$2,587","$16,731"
"Recurrent & Signals","0.07%","32 hrs","$1,129","$206","$1,335"
"Holiday","0.71%","314 hrs","$11,100","$2,030","$13,130"
"Incidents & Work Zone","0.71%","314 hrs","$11,091","$2,028","$13,119"
"Signals & Work Zone","7.22%","3,178 hrs","$112,420","$20,558","$132,977"
"Signals & Weather","7.02%","3,091 hrs","$109,345","$19,995","$129,340"
"Work Zone","0.64%","283 hrs","$9,993","$1,827","$11,821"
"Holiday, Incidents, Recurrent & Signals","0.06%","26 hrs","$925","$169","$1,094"
"Holiday & Signals","5.1%","2,248 hrs","$79,495","$14,537","$94,032"
"Signals","41.73%","18,382 hrs","$650,156","$118,892","$769,048"
"Holiday, Signals & Weather","0.3%","131 hrs","$4,632","$847","$5,479"
"Holiday & Incidents","0.23%","100 hrs","$3,536","$647","$4,183"
"Incidents, Signals & Weather","2.77%","1,222 hrs","$43,215","$7,903","$51,118"
"Totals","100.0%","44,048 hrs","$1,557,994","$284,905","$1,842,899"
