"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Recurrent","2.24%","758 hrs","$26,807","$4,902","$31,709"
"Weather","9.57%","3,233 hrs","$114,349","$20,911","$135,260"
"Recurrent & Unclassified","0.81%","275 hrs","$9,720","$1,777","$11,497"
"Unclassified","69.99%","23,632 hrs","$835,873","$152,853","$988,726"
"Incidents & Work Zone","8.31%","2,805 hrs","$99,215","$18,143","$117,358"
"Holiday & Weather","0.45%","152 hrs","$5,383","$984","$6,367"
"Incidents & Weather","0.45%","151 hrs","$5,353","$979","$6,331"
"Holiday","4.15%","1,403 hrs","$49,618","$9,074","$58,692"
"Incidents","4.02%","1,357 hrs","$47,985","$8,775","$56,760"
"Totals","100.0%","33,766 hrs","$1,194,303","$218,398","$1,412,702"
