"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Holiday & Weather","0.11%","8 hrs","$291","$53","$344"
"Signals","59.21%","4,620 hrs","$163,401","$29,881","$193,282"
"Weather","4.12%","322 hrs","$11,383","$2,082","$13,464"
"Signals & Weather","2.87%","224 hrs","$7,912","$1,447","$9,359"
"Incidents","0.21%","16 hrs","$582","$106","$689"
"Holiday","1.87%","146 hrs","$5,170","$945","$6,115"
"Incidents & Signals","1.51%","118 hrs","$4,172","$763","$4,935"
"Unclassified","15.61%","1,218 hrs","$43,087","$7,879","$50,966"
"Holiday & Signals","14.48%","1,130 hrs","$39,964","$7,308","$47,272"
"Totals","100.0%","7,802 hrs","$275,964","$50,465","$326,428"
