"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Unclassified","0.4%","96 hrs","$3,406","$623","$4,029"
"Incidents & Signals","0.4%","96 hrs","$3,408","$623","$4,031"
"Signals & Weather","3.91%","932 hrs","$32,975","$6,030","$39,005"
"Recurrent","39.12%","9,324 hrs","$329,773","$60,304","$390,077"
"Holiday & Signals","2.31%","550 hrs","$19,463","$3,559","$23,022"
"Incidents, Recurrent & Signals","2.17%","516 hrs","$18,257","$3,339","$21,595"
"Holiday","0.02%","5 hrs","$167","$30","$197"
"Weather","0.02%","4 hrs","$131","$24","$154"
"Signals, Weather & Work Zone","0.13%","31 hrs","$1,091","$199","$1,290"
"Holiday, Signals & Work Zone","0.01%","3 hrs","$119","$22","$141"
"Signals & Work Zone","1.2%","286 hrs","$10,109","$1,849","$11,958"
"Incidents, Signals & Weather","0.08%","18 hrs","$654","$120","$774"
"Holiday, Signals & Weather","0.63%","149 hrs","$5,282","$966","$6,248"
"Recurrent, Signals & Weather","0.05%","13 hrs","$451","$82","$533"
"Signals","44.99%","10,723 hrs","$379,257","$69,353","$448,610"
"Recurrent & Signals","4.57%","1,088 hrs","$38,491","$7,039","$45,530"
"Totals","100.0%","23,835 hrs","$843,032","$154,163","$997,195"
