"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Holiday","1.93%","500 hrs","$17,688","$3,235","$20,922"
"Work Zone","0.15%","39 hrs","$1,376","$252","$1,628"
"Signals","12.65%","3,280 hrs","$116,003","$21,213","$137,216"
"Signals & Weather","1.11%","288 hrs","$10,199","$1,865","$12,064"
"Holiday, Signals & Weather","0.08%","22 hrs","$770","$141","$911"
"Incidents & Signals","0.79%","205 hrs","$7,248","$1,325","$8,573"
"Unclassified","75.42%","19,550 hrs","$691,499","$126,452","$817,951"
"Holiday & Signals","0.43%","110 hrs","$3,898","$713","$4,611"
"Weather","7.44%","1,929 hrs","$68,238","$12,479","$80,717"
"Totals","100.0%","25,924 hrs","$916,919","$167,674","$1,084,593"
