"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Weather","1.5%","620 hrs","$21,940","$4,012","$25,952"
"Unclassified","13.13%","5,435 hrs","$192,226","$35,152","$227,378"
"Recurrent & Signals","12.09%","5,001 hrs","$176,900","$32,349","$209,249"
"Holiday, Recurrent, Signals & Weather","0.1%","41 hrs","$1,449","$265","$1,714"
"Holiday & Signals","0.89%","367 hrs","$12,998","$2,377","$15,375"
"Holiday, Signals & Weather","0.07%","30 hrs","$1,073","$196","$1,269"
"Signals & Work Zone","0.06%","27 hrs","$944","$173","$1,117"
"Work Zone","0.5%","206 hrs","$7,272","$1,330","$8,601"
"Signals & Weather","5.06%","2,095 hrs","$74,086","$13,548","$87,634"
"Holiday","0.46%","192 hrs","$6,774","$1,239","$8,013"
"Holiday, Recurrent & Signals","0.43%","177 hrs","$6,256","$1,144","$7,400"
"Holiday & Weather","0.04%","15 hrs","$541","$99","$640"
"Recurrent","32.03%","13,252 hrs","$468,729","$85,715","$554,444"
"Signals","30.28%","12,529 hrs","$443,139","$81,035","$524,174"
"Recurrent, Signals & Weather","3.36%","1,390 hrs","$49,174","$8,992","$58,166"
"Totals","100.0%","41,377 hrs","$1,463,498","$267,625","$1,731,124"
