"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Holiday, Incidents & Weather","0.26%","91 hrs","$3,216","$588","$3,804"
"Recurrent","2.39%","851 hrs","$30,087","$5,502","$35,589"
"Weather & Work Zone","0.1%","36 hrs","$1,266","$232","$1,498"
"Incidents & Weather","0.09%","32 hrs","$1,143","$209","$1,352"
"Unclassified","78.48%","27,972 hrs","$989,380","$180,925","$1,170,305"
"Holiday & Weather","0.69%","245 hrs","$8,672","$1,586","$10,258"
"Incidents","0.59%","210 hrs","$7,434","$1,359","$8,793"
"Holiday, Weather & Work Zone","0.59%","209 hrs","$7,379","$1,349","$8,728"
"Holiday","6.95%","2,478 hrs","$87,634","$16,025","$103,659"
"Recurrent & Unclassified","0.05%","19 hrs","$679","$124","$803"
"Holiday & Work Zone","0.46%","165 hrs","$5,831","$1,066","$6,897"
"Incidents, Weather & Work Zone","0.31%","111 hrs","$3,935","$720","$4,654"
"Incidents & Work Zone","0.31%","110 hrs","$3,896","$712","$4,608"
"Weather","5.52%","1,967 hrs","$69,578","$12,723","$82,301"
"Work Zone","3.22%","1,147 hrs","$40,586","$7,422","$48,008"
"Totals","100.0%","35,644 hrs","$1,260,716","$230,543","$1,491,259"
