"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Weather","5.71%","68,643 hrs","$2,427,911","$443,984","$2,871,895"
"Holiday, Incidents & Weather","0.05%","619 hrs","$21,890","$4,003","$25,893"
"Recurrent","46.97%","564,702 hrs","$19,973,526","$3,652,495","$23,626,021"
"Holiday & Recurrent","0.47%","5,702 hrs","$201,688","$36,882","$238,570"
"Unclassified","32.43%","389,931 hrs","$13,791,846","$2,522,071","$16,313,918"
"Recurrent & Weather","2.5%","30,073 hrs","$1,063,671","$194,510","$1,258,181"
"Incidents","0.31%","3,773 hrs","$133,459","$24,405","$157,864"
"Holiday, Recurrent & Weather","0.27%","3,209 hrs","$113,517","$20,759","$134,276"
"Incidents & Recurrent","0.02%","200 hrs","$7,069","$1,293","$8,361"
"Holiday","1.72%","20,690 hrs","$731,805","$133,823","$865,628"
"Holiday & Weather","0.94%","11,266 hrs","$398,491","$72,871","$471,362"
"Recurrent & Unclassified","8.61%","103,488 hrs","$3,660,388","$669,364","$4,329,751"
"Totals","100.0%","1,202,297 hrs","$42,525,261","$7,776,460","$50,301,720"
