"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Incidents & Signals","0.28%","65 hrs","$2,308","$422","$2,730"
"Holiday & Work Zone","0.02%","5 hrs","$192","$35","$227"
"Incidents & Weather","1.6%","378 hrs","$13,371","$2,445","$15,817"
"Holiday & Signals","0.15%","36 hrs","$1,281","$234","$1,516"
"Holiday, Signals & Weather","0.1%","25 hrs","$871","$159","$1,030"
"Recurrent","1.05%","247 hrs","$8,741","$1,598","$10,339"
"Recurrent & Unclassified","0.1%","23 hrs","$813","$149","$962"
"Holiday & Weather","0.97%","229 hrs","$8,110","$1,483","$9,593"
"Incidents","10.75%","2,533 hrs","$89,598","$16,384","$105,982"
"Unclassified","67.43%","15,882 hrs","$561,733","$102,722","$664,455"
"Signals & Weather","0.57%","134 hrs","$4,749","$869","$5,618"
"Weather","7.79%","1,834 hrs","$64,877","$11,864","$76,741"
"Signals","4.84%","1,140 hrs","$40,327","$7,375","$47,702"
"Holiday","4.34%","1,021 hrs","$36,116","$6,604","$42,720"
"Totals","100.0%","23,553 hrs","$833,087","$152,344","$985,431"
